Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Broccoli,195,ounces,Vegetables,Broccoli Salad,Lunch,Medium,178,14,13,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,31,83
Rice,122,cups,Grains,Tomato Soup,Soup,Medium,338,22,19,14,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,31,27
Tomato,58,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,131,50,19,42,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,5,18
Spinach,137,slices,Dairy,Rice Pilaf,Snack,Hard,471,15,38,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,53,64
Beef,186,grams,Proteins,Beef Stir-Fry,Dinner,Medium,130,6,14,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,59,11
Lettuce,118,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,103,10,7,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,25,75
Potato,114,cups,Grains,Mashed Potatoes,Side Dish,Medium,222,47,19,29,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,14,26
Carrot,155,pieces,Vegetables,Carrot Soup,Soup,Medium,274,10,11,41,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,57,40
Onion,161,slices,Vegetables,Onion Rings,Snack,Medium,232,18,26,45,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,15,81
Chicken,166,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,312,17,5,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,33,40
Broccoli,76,ounces,Vegetables,Broccoli Salad,Lunch,Medium,203,42,50,32,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,59,49
Rice,108,cups,Grains,Tomato Soup,Soup,Medium,436,13,9,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,43,35
Tomato,89,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,353,42,36,39,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,28,55
Spinach,140,slices,Dairy,Rice Pilaf,Snack,Hard,489,8,45,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,9,40
Beef,171,grams,Proteins,Beef Stir-Fry,Dinner,Medium,269,14,35,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,60,76
Lettuce,190,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,309,15,50,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,21,80
Potato,196,cups,Grains,Mashed Potatoes,Side Dish,Medium,496,31,38,14,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,39,14
Carrot,166,pieces,Vegetables,Carrot Soup,Soup,Medium,303,43,17,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,13,75
Onion,57,slices,Vegetables,Onion Rings,Snack,Medium,156,9,43,26,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,14,100
Chicken,118,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,214,46,28,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,21,85
Broccoli,136,ounces,Vegetables,Broccoli Salad,Lunch,Medium,158,39,11,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,56,39
Rice,122,cups,Grains,Tomato Soup,Soup,Medium,355,28,46,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,12,30
Tomato,83,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,457,27,6,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,23,12
Spinach,145,slices,Dairy,Rice Pilaf,Snack,Hard,244,41,25,12,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,34,67
Beef,187,grams,Proteins,Beef Stir-Fry,Dinner,Medium,461,43,46,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,60,94
Lettuce,179,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,362,40,32,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,48,74
Potato,174,cups,Grains,Mashed Potatoes,Side Dish,Medium,487,11,34,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,10,42
Carrot,74,pieces,Vegetables,Carrot Soup,Soup,Medium,102,16,29,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,46,54
Onion,188,slices,Vegetables,Onion Rings,Snack,Medium,333,44,22,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,30,32
Chicken,194,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,119,42,47,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,24,74
Broccoli,157,ounces,Vegetables,Broccoli Salad,Lunch,Medium,402,21,37,45,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,28,107
Rice,146,cups,Grains,Tomato Soup,Soup,Medium,242,30,41,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,25,90
Tomato,62,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,273,10,43,46,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,33,61
Spinach,79,slices,Dairy,Rice Pilaf,Snack,Hard,456,39,24,35,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,50,48
Beef,176,grams,Proteins,Beef Stir-Fry,Dinner,Medium,210,16,12,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,17,84
Lettuce,138,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,142,43,12,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,25,12
Potato,103,cups,Grains,Mashed Potatoes,Side Dish,Medium,118,12,23,14,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,26,98
Carrot,82,pieces,Vegetables,Carrot Soup,Soup,Medium,171,17,40,39,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,29,15
Onion,63,slices,Vegetables,Onion Rings,Snack,Medium,281,26,26,50,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,36,76
Chicken,70,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,477,33,32,42,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,24,110
Broccoli,154,ounces,Vegetables,Broccoli Salad,Lunch,Medium,171,26,18,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,53,25
Rice,155,cups,Grains,Tomato Soup,Soup,Medium,427,15,26,21,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,47,56
Tomato,55,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,226,45,39,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,27,107
Spinach,73,slices,Dairy,Rice Pilaf,Snack,Hard,356,17,11,19,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,24,28
Beef,132,grams,Proteins,Beef Stir-Fry,Dinner,Medium,414,46,14,39,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,14,93
Lettuce,139,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,117,43,36,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,43,29
Potato,153,cups,Grains,Mashed Potatoes,Side Dish,Medium,109,50,48,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,19,96
Carrot,51,pieces,Vegetables,Carrot Soup,Soup,Medium,309,40,47,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,25,75
Onion,189,slices,Vegetables,Onion Rings,Snack,Medium,312,45,14,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,37,68
Chicken,162,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,432,49,19,47,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,14,99
Broccoli,74,ounces,Vegetables,Broccoli Salad,Lunch,Medium,292,50,32,17,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,21,97
Rice,150,cups,Grains,Tomato Soup,Soup,Medium,198,9,38,24,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,16,52
Tomato,180,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,499,47,40,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,46,14
Spinach,66,slices,Dairy,Rice Pilaf,Snack,Hard,120,12,9,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,13,120
Beef,102,grams,Proteins,Beef Stir-Fry,Dinner,Medium,204,15,39,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,21,40
Lettuce,191,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,377,49,19,31,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,43,116
Potato,140,cups,Grains,Mashed Potatoes,Side Dish,Medium,285,50,46,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,8,16
Carrot,137,pieces,Vegetables,Carrot Soup,Soup,Medium,430,19,14,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,28,77
Onion,126,slices,Vegetables,Onion Rings,Snack,Medium,297,20,22,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,33,25
Chicken,196,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,145,42,21,18,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,42,62
Broccoli,176,ounces,Vegetables,Broccoli Salad,Lunch,Medium,269,40,46,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,39,28
Rice,125,cups,Grains,Tomato Soup,Soup,Medium,258,47,32,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,32,107
Tomato,72,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,130,49,49,7,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,56,120
Spinach,84,slices,Dairy,Rice Pilaf,Snack,Hard,137,29,43,19,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,55,31
Beef,88,grams,Proteins,Beef Stir-Fry,Dinner,Medium,151,6,35,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,34,71
Lettuce,170,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,121,18,5,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,43,103
Potato,162,cups,Grains,Mashed Potatoes,Side Dish,Medium,129,30,9,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,8,118
Carrot,163,pieces,Vegetables,Carrot Soup,Soup,Medium,339,37,36,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,24,65
Onion,50,slices,Vegetables,Onion Rings,Snack,Medium,265,49,7,31,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,10,101
Chicken,163,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,260,15,23,28,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,36,101
Broccoli,61,ounces,Vegetables,Broccoli Salad,Lunch,Medium,228,34,27,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,34,11
Rice,159,cups,Grains,Tomato Soup,Soup,Medium,462,7,38,10,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,44,62
Tomato,120,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,239,9,21,6,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,9,100
Spinach,121,slices,Dairy,Rice Pilaf,Snack,Hard,251,43,26,32,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,39,100
Beef,193,grams,Proteins,Beef Stir-Fry,Dinner,Medium,175,45,14,25,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,45,56
Lettuce,114,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,178,27,18,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,10,17
Potato,182,cups,Grains,Mashed Potatoes,Side Dish,Medium,128,42,44,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,42,38
Carrot,52,pieces,Vegetables,Carrot Soup,Soup,Medium,217,10,12,28,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,15,42
Onion,127,slices,Vegetables,Onion Rings,Snack,Medium,435,48,35,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,28,96
Chicken,181,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,341,26,35,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,59,83
Broccoli,172,ounces,Vegetables,Broccoli Salad,Lunch,Medium,437,13,25,16,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,31,62
Rice,50,cups,Grains,Tomato Soup,Soup,Medium,448,39,46,15,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,6,42
Tomato,194,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,131,27,14,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,3,59,57
Spinach,93,slices,Dairy,Rice Pilaf,Snack,Hard,375,34,24,8,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,4,49,61
Beef,93,grams,Proteins,Beef Stir-Fry,Dinner,Medium,223,44,26,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,11,110
Lettuce,82,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,313,5,10,44,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,10,80
Potato,179,cups,Grains,Mashed Potatoes,Side Dish,Medium,128,34,48,41,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,18,112
Carrot,139,pieces,Vegetables,Carrot Soup,Soup,Medium,223,20,21,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,43,110
Onion,164,slices,Vegetables,Onion Rings,Snack,Medium,398,42,33,44,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,1,49,101
Chicken,187,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,229,33,19,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,21,76
Broccoli,140,ounces,Vegetables,Broccoli Salad,Lunch,Medium,258,15,24,18,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,2,28,78
Rice,66,cups,Grains,Tomato Soup,Soup,Medium,448,38,41,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,38,38
Tomato,149,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,407,7,31,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,4,28,16
Spinach,189,slices,Dairy,Rice Pilaf,Snack,Hard,432,43,24,48,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,33,115
Beef,68,grams,Proteins,Beef Stir-Fry,Dinner,Medium,274,40,45,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,38,104
Lettuce,171,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,500,11,9,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,9,46
Potato,125,cups,Grains,Mashed Potatoes,Side Dish,Medium,255,16,33,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,19,117
Carrot,68,pieces,Vegetables,Carrot Soup,Soup,Medium,154,36,34,35,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,51,75
Onion,68,slices,Vegetables,Onion Rings,Snack,Medium,438,28,14,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,37,17
Chicken,82,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,349,27,25,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,16,73
Broccoli,164,ounces,Vegetables,Broccoli Salad,Lunch,Medium,483,6,39,29,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,6,11
Rice,82,cups,Grains,Tomato Soup,Soup,Medium,365,5,34,36,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,41,31
Tomato,102,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,480,19,28,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,36,28
Spinach,88,slices,Dairy,Rice Pilaf,Snack,Hard,466,11,28,16,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,18,24
Beef,117,grams,Proteins,Beef Stir-Fry,Dinner,Medium,326,36,24,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,36,14
Lettuce,86,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,238,27,46,40,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,42,22
Potato,111,cups,Grains,Mashed Potatoes,Side Dish,Medium,184,22,48,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,25,19
Carrot,157,pieces,Vegetables,Carrot Soup,Soup,Medium,183,8,43,29,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,40,26
Onion,94,slices,Vegetables,Onion Rings,Snack,Medium,380,43,6,43,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,44,94
Chicken,88,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,286,39,13,37,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,25,43
Broccoli,124,ounces,Vegetables,Broccoli Salad,Lunch,Medium,445,15,45,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,1,56,78
Rice,99,cups,Grains,Tomato Soup,Soup,Medium,133,41,39,34,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,3,31,112
Tomato,83,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,102,49,6,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,15,64
Spinach,82,slices,Dairy,Rice Pilaf,Snack,Hard,478,24,10,34,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,9,36
Beef,109,grams,Proteins,Beef Stir-Fry,Dinner,Medium,444,9,28,24,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,43,20
Lettuce,145,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,275,43,8,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,1,20,71
Potato,161,cups,Grains,Mashed Potatoes,Side Dish,Medium,299,19,8,18,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,43,64
Carrot,73,pieces,Vegetables,Carrot Soup,Soup,Medium,294,7,43,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,4,39,14
Onion,108,slices,Vegetables,Onion Rings,Snack,Medium,322,6,14,14,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,13,102
Chicken,97,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,491,7,9,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,56,34
Broccoli,61,ounces,Vegetables,Broccoli Salad,Lunch,Medium,323,49,44,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,2,53,35
Rice,173,cups,Grains,Tomato Soup,Soup,Medium,269,28,20,32,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,1,35,11
Tomato,72,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,244,41,25,49,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,8,84
Spinach,112,slices,Dairy,Rice Pilaf,Snack,Hard,494,10,17,7,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,36,50
Beef,175,grams,Proteins,Beef Stir-Fry,Dinner,Medium,265,23,37,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,6,57
Lettuce,146,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,201,46,10,19,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,39,67
Potato,80,cups,Grains,Mashed Potatoes,Side Dish,Medium,275,47,44,49,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,6,73
Carrot,166,pieces,Vegetables,Carrot Soup,Soup,Medium,454,20,33,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,45,74
Onion,83,slices,Vegetables,Onion Rings,Snack,Medium,471,18,36,16,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,57,58
Chicken,97,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,458,10,29,11,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,9,76
Broccoli,109,ounces,Vegetables,Broccoli Salad,Lunch,Medium,352,32,22,43,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,33,65
Rice,52,cups,Grains,Tomato Soup,Soup,Medium,311,34,43,38,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,10,62
Tomato,123,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,121,29,5,9,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,7,26
Spinach,175,slices,Dairy,Rice Pilaf,Snack,Hard,221,26,41,29,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,1,59,88
Beef,110,grams,Proteins,Beef Stir-Fry,Dinner,Medium,255,10,34,10,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,38,17
Lettuce,69,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,187,19,43,48,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,45,29
Potato,88,cups,Grains,Mashed Potatoes,Side Dish,Medium,421,31,31,47,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,12,68
Carrot,54,pieces,Vegetables,Carrot Soup,Soup,Medium,272,40,24,22,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,38,31
Onion,106,slices,Vegetables,Onion Rings,Snack,Medium,159,27,50,22,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,2,10,85
Chicken,96,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,491,26,24,15,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,3,49,104
Broccoli,174,ounces,Vegetables,Broccoli Salad,Lunch,Medium,252,22,36,23,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,28,96
Rice,114,cups,Grains,Tomato Soup,Soup,Medium,296,25,20,48,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,12,44
Tomato,138,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,341,30,12,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,34,110
Spinach,120,slices,Dairy,Rice Pilaf,Snack,Hard,387,41,11,13,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,15,112
